st1;st2;chi2;chi2error;offset
16;14;109.721495356;0.297060794417;2
16;14;112.049292392;0.300293391676;3
16;14;115.389441857;0.30481902784;4
16;14;119.788944615;0.310637702907;5
16;14;125.192357501;0.317533910394;6
16;14;131.474854822;0.325292143817;7
16;14;138.509477258;0.333804649934;8
16;14;146.116986588;0.342855922261;9
16;14;154.125746186;0.352230454314;10
16;15;125.258079602;0.324982110469;0
16;15;125.490937206;0.325269014276;1
16;15;126.200156777;0.326129725698;2
16;15;127.390325664;0.327564244734;3
16;15;129.05645374;0.329572571384;4
16;15;131.19452176;0.332154705649;5
16;15;133.759176236;0.335215012926;6
16;15;136.682069474;0.338657858612;7
16;15;139.900785289;0.342435425407;8
16;15;143.334293417;0.346452078708;9
16;15;146.907229714;0.350612183913;10
17;10;296.52783617;0.495271134385;0
17;10;295.10424804;0.495271134385;1
17;10;291.767286833;0.495271134385;2
17;10;288.63536104;0.495271134385;3
17;10;288.389904393;0.495271134385;4
17;10;293.829502714;0.495271134385;5
17;10;306.763816313;0.495271134385;6
17;10;327.822571197;0.495271134385;7
17;10;356.921900941;0.495271134385;8
17;10;393.220303892;0.496450396237;9
17;10;435.684493678;0.509723764956;10
17;11;155.205029334;0.340682008176;0
17;11;155.053264684;0.340682008176;1
17;11;155.123103801;0.340682008176;2
17;11;156.554890843;0.340682008176;3
17;11;160.763925496;0.340682008176;4
17;11;169.230438771;0.340682008176;5
17;11;182.800235048;0.340682008176;6
17;11;201.63071946;0.340682008176;7
17;11;225.514643513;0.345784440713;8
17;11;253.792711041;0.365923760581;9
17;11;285.718228059;0.398088638264;10
17;12;95.2005245049;0.248445388846;0
17;12;95.610273044;0.248445388846;1
17;12;97.1226466795;0.248445388846;2
17;12;100.313854825;0.248445388846;3
17;12;105.87678099;0.248765003757;4
17;12;114.538596745;0.250096865322;5
17;12;126.625098427;0.258723868938;6
17;12;142.07209921;0.278355589988;7
17;12;160.646569598;0.303058509013;8
17;12;181.85206912;0.329906161511;9
17;12;205.160533643;0.358178368263;10
17;13;80.7218906295;0.239976949406;0
17;13;81.292282471;0.240645097396;1
17;13;83.148091486;0.243191411781;2
17;13;86.555307114;0.247822624307;3
17;13;91.8163319942;0.255617684197;4
17;13;99.2505556774;0.265639904056;5
17;13;108.928755548;0.279727550283;6
17;13;120.708658712;0.295763102057;7
17;13;134.382132557;0.313357665809;8
17;13;149.592022339;0.332065809546;9
17;13;165.976401878;0.351442101273;10
17;14;89.5675921269;0.270819025113;0
17;14;90.090463983;0.27169908541;1
17;14;91.7271187564;0.274339266302;2
17;14;94.5826902222;0.278739567789;3
17;14;98.763094589;0.28489998987;4
17;14;104.381866316;0.292820532545;5
17;14;111.404868994;0.302207842383;6
17;14;119.687991849;0.312719861642;7
17;14;129.070517749;0.324307322223;8
17;14;139.311431399;0.336628166385;9
17;14;150.175497673;0.349389040695;10
17;15;109.063620088;0.302225458085;0
17;15;109.441458182;0.302745902737;1
17;15;110.60252378;0.304307236695;2
17;15;112.576341218;0.306909459958;3
17;15;115.382083855;0.310552572526;4
17;15;119.041766634;0.315236574399;5
17;15;123.497562214;0.320787984026;6
17;15;128.640748266;0.326946579082;7
17;15;134.365259235;0.33362561879;8
17;15;140.525861552;0.340651621599;9
17;15;146.984899003;0.34785110596;10
17;16;132.535380206;0.328018355706;0
17;16;132.729496784;0.328251896551;1
